date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:19	147994/147994	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2014:30:09%20GMT	http://paradise.jwsuperthemes.com/	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/index.html	(from )
12:09:20	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Jun%202020%2006:39:20%20GMT	http://paradise.jwsuperthemes.com/robots.txt		(from )
12:09:20	517/517	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Nov%202019%2001:42:23%20GMT	http://paradise.jwsuperthemes.com/wp-content/themes/paradise/assets/images/favicon.png	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/themes/paradise/assets/images/favicon.png	(from http://paradise.jwsuperthemes.com/)
12:09:21	41467/41467	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2007:02:44%20GMT	http://paradise.jwsuperthemes.com/wp-content/cache/busting/1/wp-includes/css/dist/block-library/style.min-7759b34e081adcf8afd579fbdd4fd047.css	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/cache/busting/1/wp-includes/css/dist/block-library/style.min-7759b34e081adcf8afd579fbdd4fd047.css	(from http://paradise.jwsuperthemes.com/)
12:09:21	1939/1939	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2007:02:44%20GMT	http://paradise.jwsuperthemes.com/wp-content/cache/busting/1/wp-includes/css/dist/block-library/theme.min-7759b34e081adcf8afd579fbdd4fd047.css	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/cache/busting/1/wp-includes/css/dist/block-library/theme.min-7759b34e081adcf8afd579fbdd4fd047.css	(from http://paradise.jwsuperthemes.com/)
12:09:21	30425/30425	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2007:02:41%20GMT	http://paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style-103f6bc407702ea76d3cc0ac3ae7fea5.css	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style-103f6bc407702ea76d3cc0ac3ae7fea5.css	(from http://paradise.jwsuperthemes.com/)
12:09:22	11037/11037	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2007:02:41%20GMT	http://paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/booked/assets/css/icons-0c57970a0501b064576d02c6b6924746.css	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/booked/assets/css/icons-0c57970a0501b064576d02c6b6924746.css	(from http://paradise.jwsuperthemes.com/)
12:09:22	6903/6903	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2007:02:41%20GMT	http://paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/booked/assets/js/tooltipster/css/tooltipster-9bf4faf0a7abeb9445c80b2a53200e3d.css	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/booked/assets/js/tooltipster/css/tooltipster-9bf4faf0a7abeb9445c80b2a53200e3d.css	(from http://paradise.jwsuperthemes.com/)
12:09:22	325/325	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20May%202020%2007:02:41%20GMT	http://paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/booked/assets/js/tooltipster/css/themes/tooltipster-light-4c9922cb396490b63fd1d4da68b5c7df.css	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/cache/min/1/wp-content/plugins/booked/assets/js/tooltipster/css/themes/tooltipster-light-4c9922cb396490b63fd1d4da68b5c7df.css	(from http://paradise.jwsuperthemes.com/)
12:09:23	32862/32862	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Nov%202019%2001:45:22%20GMT	http://paradise.jwsuperthemes.com/wp-content/uploads/2017/06/bg-praradax.jpg?id=151	D:/Extra/College/Beauty/Beauty/paradise.jwsuperthemes.com/wp-content/uploads/2017/06/bg-praradax4133.jpg	(from http://paradise.jwsuperthemes.com/)
